expression; size; sliced on; sign slice; sign size 
(letrec* ((ipbgb (let* ((drn -29)) (+ (/ drn (* 0 (- -5 -10))) (* drn drn)))) (sqg (let () -15)) (aelke 24) (jnkt -23)) (/ 30 aelke));27;5;(letrec* ((ipbgb (let* ((drn -29)) (+ (/ drn (* 0 (- -5 -10))) (* drn drn)))) (sqg (let () -15))) '());22
(letrec* ((vtkj -16) (owtos (begin -3 13)) (lzg 29) (yoom -19)) 28);8;-22;(letrec* ((lzg 29)) '());3
(let ((hch (/ (if #f 21 11) -20)) (ptt (+ -26 16)) (pni 26)) -15);14;30;(let ((hch (/ (if #f 21 11) -20))) '());9
(let* ((t 16) (b (if (< -1 -22) (if #f -16 21) (if #t 26 -21))) (rdjzv (* -29 5)) (f 22)) (+ 12 -1));24;3;(let* ((f 22)) '());3
(let ((zbwuk (begin 15 -18)) (prad (- 0 -2)) (wzf 1)) prad);10;-26;(let ((prad (- 0 -2))) '());6
(let* ((rge -11) (zp 25)) (/ (/ -12 rge) zp));10;26;(let* ((rge -11)) '());3
(letrec* ((sky (begin 26 -17)) (te (if #f -14 18)) (kmz -19) (teuial 13)) kmz);11;19;(letrec* ((teuial 13)) '());3
(let ((uf (* (if #f 6 (- 14 11)) (let* () -13))) (fvbeyg -28) (sba -26) (snf 1)) (- (begin (- fvbeyg sba) -11 (- -16 uf)) (* -24 snf)));31;-2;(let ((uf (* (if #f 6 (- 14 11)) (let* () -13))) (sba -26)) '());14
(let* ((zzy -28) (rn 28) (ncmo (if #f -4 26)) (dt -1)) (if #t (letrec* ((rromd -18)) ncmo) (+ (if #f 9 (* -15 (/ -27 -27))) -10)));26;11;(let* ((rn 28)) '());3
(let ((yga (+ -11 -17)) (zlg (begin -30 11)) (jgpfh (* -3 3)) (pndwxp -19)) (+ 5 (if #t -5 yga)));20;-28;(let ((yga (+ -11 -17))) '());6
(let* ((jn (if #t (let* () -24) (/ 30 25))) (xxq 13) (eeddtt -4) (oe -2)) (* (- oe (begin -9 eeddtt)) jn));21;7;(let* ((jn (if #t (let* () -24) (/ 30 25))) (oe -2)) '());11
(let* ((yuw -22) (hjao (if #t 8 6)) (imns (* -30 -4)) (jfj 7)) (let* ((pfa jfj)) (begin (set! hjao yuw) -9)));17;22;(let* ((imns (* -30 -4)) (jfj 7)) '());7
(let* ((qilus -26) (ew -5) (q -19) (wkqweb -6)) (/ (let ((g wkqweb)) (if #f 16 (- 16 (- (+ -2 2) -20)))) wkqweb));23;-12;(let* ((wkqweb -6)) (/ (let () (if #f 16 (- 16 (- (+ -2 2) -20)))) wkqweb));19
(let* ((yn (if #f 29 (if #f (if #t 0 -4) (- -26 28)))) (tsldxd 29) (rtu (if #t 15 27)) (tx -22)) (/ (- tx -8) (begin yn (+ 18 yn) 1)));33;5;(let* ((tsldxd 29)) '());3
(let* ((x 2) (i (if (< 3 17) 12 -26)) (rgjh 5) (r 10)) (+ rgjh rgjh));15;17;(let* ((i (if (< 3 17) 12 -26))) '());9
(let* ((u 2) (x 16)) -6);4;12;(let* ((u 2)) '());3
(let* ((niwsu (+ (- (/ -27 -17) (if #t 16 12)) -29)) (tesmg (+ -8 (if #f 15 -12))) (uuzeb 25) (sxon 10)) (begin (set! uuzeb (begin (- sxon (+ uuzeb -9)) -10)) (set! sxon (+ uuzeb (/ -5 (+ 17 niwsu)))) (set! uuzeb tesmg) -26));48;-22;(let* ((tesmg (+ -8 (if #f 15 -12))) (uuzeb 25)) (begin (set! uuzeb (begin -10)) (set! uuzeb tesmg)));15
(let* ((vzuds (if #t -2 -3)) (o -30)) -28);7;-6;(let* ((vzuds (if #t -2 -3))) '());6
(let* ((afk (begin (if #t 1 -29) -24 10)) (sj (+ (- 2 -10) 19)) (wz -13) (xhya -8)) (+ (- (- -6 16) xhya) (- (/ sj (+ afk afk)) xhya)));36;-20;(let* ((afk (begin 10))) '());4
(let* ((e 25) (inh 5)) inh);4;-4;(let* ((e 25)) '());3
(let* ((luyv (if #f (if #f 28 0) -22)) (ksl 28) (fw 5) (ufgld -18)) -21);12;-19;(let* ((ksl 28)) '());3
(let* ((arq (begin (+ -9 27) -9 -6)) (ng -24) (l (if #f 26 5)) (vioj -22)) (* -24 -16));18;-13;(let* ((vioj -22)) '());3
(letrec* ((snbup (if #t 11 -16)) (fyba 11) (wv -23) (fz 29)) snbup);9;23;(letrec* ((fz 29)) '());3
(let* ((q 27) (cl -21) (qpzw -19)) (if (< (/ 17 14) cl) -9 (begin -16 cl -13)));17;-21;(let* ((q 27) (cl -21)) '());4
(let* ((nekc (* (begin 26 11) -18)) (yevf (begin 1 -22)) (ay (+ 8 -9)) (zfhdj 19)) (* zfhdj nekc));19;-29;(let* ((zfhdj 19)) '());3
(let* ((zeci (+ (- 21 3) -27)) (xehewe 25) (ygf -28) (wat -12)) (+ -1 11));15;-23;(let* ((xehewe 25)) '());3
(letrec* ((xyrlts 19) (gp (if (< 15 17) (* -3 21) 3)) (xrmk (/ -18 -16)) (npvvqk -25)) (+ gp xyrlts));21;-22;(letrec* ((xrmk (/ -18 -16))) '());6
(let* ((pfjr 6) (pyp (let () -24)) (xerb (if #f 21 -25)) (zhl -30)) -25);10;23;(let* ((pyp (let () -24)) (zhl -30)) '());5
(let* ((qich -20)) (if #t (begin (set! qich qich) (/ 27 (/ (+ qich (- 13 qich)) 13))) (if (< qich (/ -18 (* (* -16 qich) 16))) 27 -18)));36;-8;(let* ((qich -20)) (if #t (begin (set! qich qich)) '()));8
(letrec* ((tdzkhj (- 30 -29)) (ogbtwy -12) (brropp 14)) -3);8;-13;(letrec* ((brropp 14)) '());3
(letrec* ((ulwu -4)) (- (begin (/ ulwu ulwu) (set! ulwu -3) 15) 15));13;-3;(letrec* ((ulwu -4)) (- (begin (set! ulwu -3) 15) 15));9
(letrec* ((ioom -28) (gwmr -4) (ufevcg -19) (a 0)) (- (+ ufevcg -10) (begin (* a (- -17 28)) (- -12 23) 11)));24;-4;(letrec* ((ioom -28)) '());3
(let* ((bzcfdi (if #t -12 9)) (knsi 8)) (+ (if #t bzcfdi (if #f bzcfdi bzcfdi)) (if #t knsi (if (= 20 bzcfdi) 7 -8))));25;8;(let* ((bzcfdi (if #t -12 9))) '());6
(let* ((fyrdb -13) (p 20) (hvj 19)) (begin (set! p 6) (/ 17 -26) hvj 1));13;13;(let* ((p 20)) (begin (set! p 6)));5
(let* ((vg (- -5 7)) (g (+ -6 0)) (xu (if #t 3 -14)) (j 1)) (- (+ (+ vg -2) j) (/ vg -27)));27;29;(let* ((g (+ -6 0))) '());6
(let ((eipfx (begin -18 -10)) (gt -8) (rx (+ -17 -24)) (wy -30)) -3);11;28;(let ((eipfx (begin -10))) '());4
(let* ((vi (/ -17 (if #t (+ 14 13) 18))) (v (letrec* () 11)) (fgc -24) (oceig 18)) (if (< v -16) (/ -15 oceig) fgc));25;19;(let* ((v (letrec* () 11)) (oceig 18)) '());5
(letrec* ((sauvtm -10) (tpjqj -25)) (/ (begin (set! sauvtm sauvtm) 22) (* 20 -11)));13;29;(letrec* ((sauvtm -10) (tpjqj -25)) (/ (begin (set! sauvtm sauvtm) 22) (* 20 -11)));13
(let* ((vxy 14) (gs 15)) (- (+ (- (if #f 11 -27) vxy) (let* () gs)) gs));17;6;(let* ((vxy 14) (gs 15)) (- (+ (- (if #f 11 -27) vxy) (let* () gs)) gs));17
(let* ((mtjm (let* ((zyk 29)) (if #f 22 0))) (ntqwbu 3) (g 3) (plusgs 0)) (if (< plusgs 12) 5 (- -14 g)));20;13;(let* ((mtjm (let* () (if #f 22 0))) (ntqwbu 3) (plusgs 0)) '());9
(letrec* ((ho 14) (jws 13) (odlxg 16)) (+ (* (+ (- (* -12 odlxg) 26) 0) (begin (set! jws odlxg) jws)) ho));23;20;(letrec* ((odlxg 16)) '());3
(letrec* ((syby -13) (wqzwsp (begin -15 0)) (ucl (+ -19 -20)) (nbgn -9)) ucl);11;-28;(letrec* ((syby -13)) '());3
(let* ((d (begin -3 28)) (jtwjgz 11) (qk -2)) (begin (if #t (- d qk) 20) (- (+ 11 d) jtwjgz) qk));22;19;(let* ((jtwjgz 11)) '());3
(letrec* ((xb -10) (p 28) (jsj 15)) (if (= 14 -22) (+ (/ jsj (+ jsj 20)) (+ (/ -26 p) -4)) (if (< -18 -5) (- (+ p -6) p) (begin p (/ -24 (- -15 (+ 28 (+ jsj -17))))))));52;6;(letrec* ((xb -10)) '());3
(let* ((l 6) (qjyqp (begin 5 18)) (ihhokx (if #f -23 -3)) (nsyc -6)) 26);11;-26;(let* ((ihhokx (if #f -23 -3))) '());6
(let ((nsc (if #t 5 -21)) (esct 18) (n (if #f -23 21)) (xjufn -13)) n);12;10;(let ((n (if #f -23 21))) '());6
(let* ((nfzvd 23) (zxf (* -9 (if #t 29 2))) (xgpw (if #f -30 -13)) (askwyk -23)) (begin (set! xgpw (begin (set! askwyk (* (* 24 -12) (- (* (* (* 17 (+ 18 -7)) nfzvd) -2) -6))) zxf)) 0 (set! zxf 25) askwyk));45;9;(let* ((zxf (dummy -2))) (begin (set! zxf 25)));7
(let ((ju 11) (yj (- -25 1)) (pplb (* -18 -11)) (iuzkt 23)) 14);12;-28;(let ((ju 11)) '());3
(letrec* ((o 26) (zan -7)) (if #f 26 (begin 8 (/ 1 30))));12;30;(letrec* ((o 26)) '());3
(let* ((bgabc (* -24 28)) (lq (* (if #f -19 -28) -8)) (woj -27) (akf 7)) (- 5 woj));18;22;(let* ((woj -27)) '());3
(let* ((b 9) (znawp -19) (nn -22)) (+ b b));8;16;(let* ((znawp -19)) '());3
(letrec* ((dzffv 26) (vxhxe 12) (dk 16) (aadbc 7)) (if (< 20 -2) (/ (/ dzffv (+ dzffv (/ 8 vxhxe))) (/ -28 (- (/ 27 vxhxe) 2))) (- (if (< -21 (- aadbc 3)) (if #f dk -27) 0) (- 4 -13))));51;-3;(letrec* ((vxhxe 12) (aadbc 7)) '());4
(let* ((mv 15)) (- (/ (+ 9 mv) mv) 13));12;12;(let* ((mv 15)) '());3
(let* ((rlim (/ -10 -3)) (hsnio (if #f 4 20)) (a 22)) (if #f (/ (* (+ (+ hsnio 7) (- (- (- hsnio -13) (/ 25 -9)) (+ 27 (+ (- (- a -30) 30) a)))) 28) (* 22 -6)) (- hsnio (begin (- 14 (- 25 (* -10 a))) hsnio))));67;-26;(let* ((hsnio (if #f 4 20))) '());6
(let* ((gvuhg (begin 11 -12)) (mgdo 16) (tdrwze 13) (lffqk -9)) (* (/ gvuhg 18) -20));14;-13;(let* ((lffqk -9)) '());3
(let* ((gz (begin -15 2 -1)) (tenj -15) (kbvou (if #t 6 -20)) (uas -3)) -22);12;-26;(let* ((kbvou (if #t 6 -20))) '());6
(let* ((isu (if #t (+ (- 19 -29) (/ -9 -27)) -17)) (a -13) (jfqh -24) (uvfnpx -17)) (if (= jfqh 0) (+ (begin (set! uvfnpx (/ -17 17)) -6) (* (/ 15 -6) (* 28 6))) (if #f (/ uvfnpx a) (let* () a))));49;-25;(let* ((jfqh -24) (uvfnpx -17)) '());4
(let* ((f 16) (hqo -24) (gbb (if #t 18 3)) (ergv 10)) (if #f (begin (* (+ (+ f gbb) ergv) ergv) (set! gbb (* gbb f)) (/ 10 26)) 3));31;-11;(let* ((f 16) (hqo -24) (gbb (dummy 2))) (if #f (begin (set! gbb (* gbb f))) '()));15
(letrec* ((k (+ -24 (if #t -2 9))) (ygznmr 23) (py 21)) (begin (set! py (if #t ygznmr -28)) (set! py (+ 1 (- k 26))) (+ (* (* (+ -29 (/ -26 (* -15 8))) (+ k (* k ygznmr))) (* (* 15 py) ygznmr)) -29)));55;-29;(letrec* ((ygznmr 23)) '());3
(let* ((lua 1) (sun 23) (k 12) (jzj 19)) -1);6;16;(let* ((lua 1)) '());3
(letrec* ((msvid (begin -20 28)) (qiltik (if (< 9 15) 14 24)) (hawaam 5) (vpfd -16)) (begin (+ 6 (if #t (* -10 qiltik) 14)) (- -2 2) 27 hawaam));30;4;(letrec* ((msvid (begin 28))) '());4
(let* ((nopuu 30) (mgscon (begin 10 -1)) (f -2) (uqfrp 8)) (+ (/ (+ (+ f 13) (* -26 21)) 15) nopuu));23;28;(let* ((nopuu 30)) '());3
(let* ((kxi (if #f (let () -21) (begin -20 -14))) (jvckek (begin -18 25)) (hwqh (if #f -29 15)) (wan 9)) (- (/ (- -19 hwqh) hwqh) (let* ((qe 11)) -20)));28;25;(let* ((kxi (if #f (let () -21) (begin -14))) (hwqh (dummy 2))) (- (/ (- -19 hwqh) hwqh) (let* () -20)));21
(let* ((k (+ 20 27)) (jnz -16) (iism (- -10 -21)) (cpsip 27)) (/ (* (+ (+ (- jnz iism) k) 9) cpsip) (* (* (* -24 iism) cpsip) (/ -19 -28))));39;-14;(let* ((iism (- -10 -21))) '());6
(let* ((vimazc -17) (flu (if #t -5 17)) (cia -29)) (* 21 -1));11;-22;(let* ((cia -29)) '());3
(let* ((q (let* ((xvylb 20)) (* (- (/ -3 xvylb) (- xvylb 9)) 25))) (evgg 23) (ley 30) (ujo -24)) ley);20;-12;(let* ((q (let* ((xvylb 20)) (* (- (/ -3 xvylb) (- xvylb 9)) 25)))) '());17
(let* ((hr (* -8 -9)) (cy (begin 2 4)) (vrgzs (if #t -24 -17)) (w -17)) -21);14;0;(let* ((hr (* -8 -9))) '());6
(let* ((phxavb (begin -9 -29 1)) (eaxt -25) (cv (if #f 7 -24)) (ilhd -9)) cv);12;-7;(let* ((eaxt -25)) '());3
(let* ((dvu -23) (lzub (+ 4 (if #t -4 22))) (fdx -9) (cl 0)) (if (< (/ 1 9) fdx) (begin fdx -6 lzub) (if #t (if (< (* -20 -22) fdx) (/ fdx dvu) (/ (- (- 9 -6) dvu) lzub)) dvu)));48;26;(let* ((fdx -9)) '());3
(letrec* ((znor (if #t 30 10)) (cktkvd (if (= 20 -2) -19 30)) (tgyaxf -15) (hkpwce 25)) (let ((lcarpy (+ -21 znor))) (let () lcarpy)));21;27;(letrec* ((tgyaxf -15)) '());3
(letrec* ((aukpi 6)) (- (* aukpi aukpi) (* -10 24)));12;19;(letrec* ((aukpi 6)) '());3
(let* ((wdud (begin 19 -29)) (qd -15) (bis 27)) -11);7;-17;(let* ((qd -15)) '());3
(letrec* ((ipgil (let* ((wpvyeu -11)) (* (+ wpvyeu wpvyeu) wpvyeu))) (ugprzu 2) (jgjgh 28) (d -28)) -7);14;-3;(letrec* ((ipgil (let* ((wpvyeu -11)) (* (+ wpvyeu wpvyeu) wpvyeu))) (ugprzu 2)) '());12
(letrec* ((ttxfr (begin 29 17)) (w (* -1 14)) (povff 1)) (if (< (* w -14) 29) 6 (/ 0 povff)));22;-16;(letrec* ((w (* -1 14)) (povff 1)) '());7
(let ((xxn 21) (ug (begin 19 15)) (cc -16) (kmx 18)) (if #f (if (= (/ ug cc) cc) (let* () (* ug 30)) (/ -29 (/ (/ -24 cc) 8))) xxn));33;-21;(let ((ug (begin 15)) (cc -16) (kmx 18)) '());6
(let* ((mhnny (if #t (if #f (/ 2 20) (- -28 -8)) 4)) (db (if (= 22 22) 2 (* -4 29))) (czmtfn -8) (hduwng 13)) (begin 14 (set! db db) czmtfn));31;-24;(let* ((mhnny (if #t (if #f (/ 2 20) (- -28 -8)) 4)) (db (dummy 3))) (begin (set! db db)));20
(letrec* ((sr 14) (wt (+ -4 (- 12 9))) (scew 30) (gkw 15)) -28);12;-17;(letrec* ((gkw 15)) '());3
(let ((iuxb -3)) -6);3;24;(let ((iuxb -3)) '());3
(let ((kvz (begin -2 19)) (yf (* 7 -3)) (ybn 12)) yf);10;14;(let ((ybn 12)) '());3
(let* ((nu 24) (m 23) (oi 23) (rwrk -24)) (if (= -14 -14) (* (/ oi oi) -24) -21));18;-12;(let* ((nu 24)) '());3
(let* ((na 24) (ubnyqr (begin -12 -3)) (akrk 4) (dyfbgy 17)) (begin (begin (set! na (* (/ (/ 22 na) -4) (* na (+ dyfbgy 6)))) akrk) 4 akrk 23));30;21;(let* ((na 24) (ubnyqr (begin -3)) (dyfbgy 17)) (begin (begin (set! na (* (/ (/ 22 na) -4) (* na (+ dyfbgy 6)))))));24
(let ((jzw 6) (tsotd (* -3 -19)) (y 27)) (let* ((xk -27)) (let () -11)));11;22;(let ((y 27)) '());3
(let* ((oefgiq (begin -15 -30 -12)) (kp -27) (fp (* 2 17)) (wn 29)) (begin (begin 30 (+ -22 (+ 6 oefgiq))) -30 wn oefgiq));24;-11;(let* ((kp -27)) '());3
(let* ((x 15) (l -16) (uk (/ -18 9)) (onvgt 11)) x);9;17;(let* ((l -16)) '());3
(let ((dkmj -11) (p 18) (avzlyy 11) (gteeb 9)) (let ((xt -6)) (+ -16 (+ avzlyy (+ (- (+ 17 25) gteeb) avzlyy)))));23;-17;(let ((gteeb 9)) '());3
(let ((qgf (letrec* () 14)) (hy 15) (iezdfc -16)) hy);6;28;(let ((qgf (letrec* () 14)) (hy 15)) '());5
(letrec* ((tysvzw (let* ((fby -27)) -19)) (vwkr (+ 8 (- 26 7))) (mhrqri -3) (fcnk -13)) (begin -10 tysvzw mhrqri mhrqri));18;28;(letrec* ((tysvzw (let* () -19))) '());4
(let* ((ygshhx 9)) (/ -18 (/ (/ -30 -1) (/ 4 -19))));15;-18;(let* ((ygshhx 9)) '());3
(let* ((ennda (begin 0 16)) (mesfk 10) (pcg -14)) (+ ennda mesfk));10;0;(let* ((ennda (begin 16))) '());4
(let* ((g (/ -12 (+ (if #f -4 8) -21))) (enxlx -11) (itesi (+ -11 -23)) (nipmjg 18)) (+ nipmjg 30));21;14;(let* ((itesi (+ -11 -23))) '());6
(let* ((hby (begin -11 0)) (h (letrec* () 19)) (qbaqp (/ 2 7)) (ucuua -10)) (/ (let* ((o ucuua)) hby) 7));17;-29;(let* ((hby (dummy 0)) (h (letrec* () 19))) (/ (let* () hby) 7));11
(let* ((a (/ (if #f -24 -9) 4)) (r 9) (ujjuo -22)) a);11;18;(let* ((a (/ (if #f -24 -9) 4))) '());9
(let* ((v -21) (gwnbou (- 23 -6)) (ymzad 25)) (if (= ymzad -18) (begin (- 12 2) (set! ymzad gwnbou) 2) -4));21;-30;(let* ((v -21) (ymzad 25)) '());4
(let ((g (+ 7 (begin 10 -12))) (hhdci 17) (yem 12) (qzbavu 20)) (if (= 23 -11) 12 (- (if #t (* (* yem yem) qzbavu) (- -2 qzbavu)) (begin hhdci 11))));34;27;(let ((qzbavu 20)) '());3
(let* ((ap (if #f (begin 28 16) -20)) (gczauw -18) (dgqzl 30) (y -18)) (letrec* ((ipxx (* (- 23 -19) y)) (sq (/ 27 gczauw))) 15));23;-11;(let* ((gczauw -18) (y -18)) '());4
(let* ((adn -26) (axv -23)) adn);4;-20;(let* ((adn -26)) '());3
(let* ((icrfh -3) (xe (if (= -8 -18) -8 -30)) (ejwvcf 21) (bde 20)) (begin (/ (* icrfh 6) xe) (* -10 1) -14));24;22;(let* ((ejwvcf 21)) '());3
(letrec* ((lrmq (begin 10 23 -8)) (ckas (/ -9 -26)) (lpt (- -25 -9)) (k 21)) (if #t (+ (* 0 -13) (let* () (* 7 (+ lpt -5)))) (if #f (* -22 28) (- 20 6))));40;4;(letrec* ((lrmq (begin -8)) (lpt (dummy 3))) (if #t (+ (* 0 -13) (let* () (* 7 (+ lpt -5)))) '()));23
(let* ((mkiooh (- (/ 16 -9) 17)) (poeo 7) (tkiey 0)) (begin -16 14 (- (* (- tkiey 17) 14) 0)));23;20;(let* ((tkiey 0)) '());3
(let* ((b (+ (letrec* () 2) (/ -19 -24))) (eaciva (if #f (if #t 23 3) -3)) (lox 22) (jdpou 7)) (if #t (/ (if #t b 28) (/ (- jdpou eaciva) -10)) eaciva));34;-28;(let* ((b (+ (letrec* () 2) (/ -19 -24)))) '());10
(let ((b (begin 10 11 6)) (cepv (begin -21 -16)) (sahmu (+ -27 -8)) (n -4)) (+ (- (/ -9 22) -19) n));23;-22;(let ((sahmu (+ -27 -8))) '());6
(let ((ynfl -28)) (/ 2 (letrec* ((s (+ -22 -18))) -22)));11;24;(let ((ynfl -28)) (/ 2 (letrec* () -22)));7
(let* ((shmv 16) (b -18)) (if (= b b) b (if #f 25 (begin -26 (- 26 -25)))));18;-29;(let* ((b -18)) '());3
(let* ((xvpki (begin 12 29)) (jghbbq 1) (czj -18)) (if #t (+ jghbbq xvpki) (letrec* ((qq 8)) 10)));15;7;(let* () (if #t '() (letrec* ((qq 8)) '())));7
(let* ((rll (begin 8 -12 12)) (l 12) (yxkk 23) (ejx -4)) (* (begin (+ l -5) (set! rll 6) (+ (/ rll -17) l)) (begin (if #t l (/ (- -17 yxkk) l)) l 28)));37;-10;(let* ((yxkk 23)) '());3
(let* ((bnrpqm (if #f 6 (* (* -2 27) 13))) (x -3) (v 28) (xbb 0)) (- (begin -5 (set! bnrpqm (* -17 v)) -18) (+ 18 v)));28;-29;(let* ((xbb 0)) '());3
(let* ((gcw 7) (lik -25) (wd -9)) (- -10 3));8;18;(let* ((gcw 7)) '());3
(let* ((wv (if #t (if #t -13 7) -24)) (fshnp 15) (uuojm 29) (vnn 26)) (* -29 fshnp));15;21;(let* ((fshnp 15)) '());3
(let* ((zjp (if #f (/ 18 (* -25 6)) 20)) (di (begin 4 29)) (umc -25) (kkrbd -2)) (* umc (- 5 -9)));23;-30;(let* ((umc -25)) '());3
(let ((lg (let* ((yt -13)) yt)) (h (- -20 12)) (mdppt -27) (eufupa 23)) (* lg 2));14;-20;(let ((lg (let* ((yt -13)) yt))) '());5
(let ((jauv (begin 5 26)) (rmn (- 2 -24)) (iimpx -30)) 18);10;30;(let ((jauv (begin 26))) '());4
(letrec* ((oz 8) (lgi (begin 16 -16)) (ds -28) (qdmzt -11)) (+ (begin (set! ds oz) 3) (+ (begin -3 -21) (let* () -25))));20;21;(letrec* ((lgi (begin -16))) (+ (begin 3) (+ (begin -21) (let* () -25))));13
(letrec* ((gqzat -18) (xvlkc 22) (qdr 8) (ieo -21)) (if (= (* -30 -10) (/ (- (/ gqzat 28) 17) 7)) (* ieo (begin 21 14)) (* 15 -27)));32;26;(letrec* ((gqzat -18) (qdr 8)) '());4
(letrec* ((dd (begin -8 5)) (caflz -22) (bql 4)) (* 12 caflz));10;3;(letrec* ((dd (begin 5))) '());4
(letrec* ((ikac (if #f -23 (- 19 -12))) (vavzzr (- -23 -29)) (wmwcct 2)) (let* ((jx (- vavzzr ikac)) (srk vavzzr)) (begin (set! vavzzr -23) 21)));23;29;(letrec* ((vavzzr (- -23 -29))) (let* ((srk vavzzr)) '()));8
(let* ((lszhtb (let* ((bejs 3)) (+ 27 -4))) (ndghda 27) (y -15) (zwtloy 7)) -13);11;-27;(let* ((lszhtb (let* () (+ 27 -4))) (ndghda 27)) '());8
(let* ((th (if #t (if #t (/ -7 22) -6) (begin -6 4))) (evfhqi -18) (fgtany (+ 11 -17)) (lkta -30)) 11);20;25;(let* ((evfhqi -18)) '());3
(let ((xfbbt (- (/ (if #f -30 13) (/ 2 29)) -1)) (nqek (begin -22 -22)) (gjxpyi -27) (omajny -7)) (+ (if (< xfbbt -20) (* -8 (+ -28 (/ 20 2))) (if (< -29 (+ -30 (- gjxpyi omajny))) (+ 16 (- (* xfbbt xfbbt) nqek)) omajny)) 27));59;-24;(let ((xfbbt (- (/ (if #f -30 13) (/ 2 29)) -1)) (gjxpyi -27) (omajny -7)) '());17
(let ((gkv 17) (of (+ 21 -21)) (ourse 2) (g -29)) (if #f of (* (* 27 (- -14 ourse)) 25)));21;-29;(let ((g -29)) '());3
(let* ((ecl (begin 23 23)) (nevwp 1) (fcfyj -27)) (begin -23 (set! ecl -11) fcfyj));11;-20;(let* ((nevwp 1)) '());3
(let ((ovr (* 24 (* 12 8))) (wde 19) (gjg -24)) (if #t (/ -7 gjg) (/ -20 wde)));20;21;(let ((ovr (* 24 (* 12 8)))) '());9
(let* ((pp (letrec* ((jiah 13)) 27)) (ap 1) (mlpt (if #f 29 -5)) (f 15)) -10);11;12;(let* ((pp (letrec* () 27))) '());4
(let ((ctkmvv (begin 14 6 21)) (llilit -29) (m (+ 3 -11)) (unl -18)) (if #f (* 9 ctkmvv) (if (= ctkmvv 15) (if #t unl 16) (* (if #t m ctkmvv) (* -22 (* (/ 26 (/ (* (- 28 -7) unl) -18)) 26))))));51;24;(let ((ctkmvv (begin 21))) '());4
(let ((qay -7) (t -23)) (begin (* qay (if #t (/ (/ -19 -15) -8) (* qay t))) (set! t (- (* t (- t 15)) -21)) -11 22));33;11;(let ((t -23)) (begin (set! t (- (* t (- t 15)) -21))));14
(let ((wjz (begin -29 10)) (dgqtd 1) (fbsc -25) (fghyp 27)) (if #f (if (= -4 (- (/ (/ wjz (* (+ wjz 29) (* 6 -21))) (- (+ wjz (* (+ fbsc -27) (- wjz (/ -21 (+ -6 28))))) -12)) fbsc)) (if (= (+ dgqtd (- wjz 30)) -1) -2 (* 21 26)) (begin (set! fghyp wjz) (* 29 2))) (if (= fbsc wjz) -19 (begin -3 (* 10 (/ 13 fghyp))))));91;28;(let ((wjz (begin 10)) (dgqtd 1) (fbsc -25)) '());6
(let* ((zsql 26) (juojxo (if (< -5 -30) (if #t -15 28) (- -23 -18))) (fr (if #f -19 -19)) (bpnrzb 6)) (+ (/ 14 (let* () 16)) 0));28;16;(let* ((zsql 26)) (+ (/ 14 (let* () 16)) 0));10
(let* ((dehte -15) (sxaa (/ -4 -11)) (hnco 11) (os 7)) (+ 27 hnco));12;10;(let* ((hnco 11)) '());3
(let* ((iv 10) (t -26) (hwtmvg -14) (g 20)) (let ((n (+ 13 -25))) (- (* (+ (* -12 14) -2) -3) -13)));23;3;(let* ((g 20)) '());3
(let ((f -27) (loyc (/ -9 -12)) (hh (- 12 28)) (naet -22)) 19);12;19;(let ((naet -22)) '());3
(letrec* ((lnjdy 27) (wgwz 8)) lnjdy);4;-8;(letrec* ((lnjdy 27)) '());3
(let ((csn (+ -8 (+ -29 28))) (ed 0) (bc 20)) (+ (- (+ 11 -14) (letrec* () 2)) (+ 13 (if #t (if #f -24 (* (* 6 (+ ed bc)) 12)) ed))));39;22;(let ((ed 0) (bc 20)) (+ (- (+ 11 -14) (letrec* () 2)) (+ 13 (if #t (if #f -24 (* (* 6 (+ ed bc)) 12)) ed))));32
(let ((sg (begin -24 -16)) (mxg 28) (upgx 13)) (if (= (/ 26 -13) (- -12 (- 11 (+ -16 (+ 15 3))))) (/ 26 2) (* (* -10 sg) (- -5 (/ mxg -8)))));43;21;(let ((sg (begin -16))) '());4
(let* ((nns (+ (- 24 -22) -26)) (kva 10) (vuq -27)) (* (begin (set! vuq (if #t -20 (* 6 vuq))) (set! nns 20) -11) (/ (* 19 (+ 19 1)) (- -17 2))));37;0;(let* ((nns (dummy 3)) (vuq -27)) (* (begin (set! vuq (if #t -20 (* 6 vuq))) (set! nns 20) -11) (/ (* 19 (+ 19 1)) (- -17 2))));32
(let* ((vnvkaq (* -16 22)) (tc 23) (ic 14) (kv -24)) (+ 0 7));12;20;(let* ((vnvkaq (* -16 22))) '());6
(let* ((dap (/ (letrec* () 14) (- (/ 26 25) -14))) (hmevc 17) (qqo 20) (na 30)) -17);16;16;(let* ((dap (/ (letrec* () 14) (- (/ 26 25) -14)))) '());13
(let ((rnrvx (begin 4 16)) (bx 25) (qcygw -17)) (+ 13 (* bx (* (- -21 16) bx))));19;-2;(let ((bx 25)) '());3
(let ((ezwzm (begin 17 -12)) (jxvoa -27) (mlztio (+ -11 -2)) (md -28)) (if #t (- (if #t (+ md -2) 24) (- (if #f -20 -26) (if #t (+ ezwzm jxvoa) 23))) jxvoa));35;4;(let ((ezwzm (begin -12))) '());4
