expression; size; sliced on; sliced expression; sliced size
(let ((lngfhb -25)) (if (< 6 (- -26 13)) (- lngfhb (- (if #t 2 (/ 29 lngfhb)) (+ -30 lngfhb))) (* (begin (set! lngfhb (* -16 (+ lngfhb 5))) 25) (begin (set! lngfhb (* lngfhb lngfhb)) 6))));45.0;lngfhb;(let ((lngfhb -25)) (if (< 6 (- -26 13)) '() (* (begin (set! lngfhb (* -16 (+ lngfhb 5))) 25) (begin (set! lngfhb (* lngfhb lngfhb)) 6))));30.0
(let* ((x 29) (a (+ (if #f -18 24) 24)) (ohyrh (* -13 29)) (rybk 20)) (* (begin (set! a (if #f -30 20)) (set! a (* -17 (* (* (/ (+ a (+ x x)) (/ rybk 27)) a) (* -21 -10)))) (/ -16 -16)) 29));53.0;a;(let* ((x 29) (a (dummy 2)) (rybk 20)) (* (begin (set! a (if #f -30 20)) (set! a (* -17 (* (* (/ (+ a (+ x x)) (/ rybk 27)) a) (* -21 -10)))) (/ -16 -16)) 29));45.0
(let* ((e -23) (jd -13) (jja -19)) (begin (set! jd jd) (if #f -18 jd) (set! jja 29) 27));14.0;e;(let* ((e -23)) '());3.0
(let* ((cmkob (+ (if #f -10 17) (* 15 11))) (zkyevf -5) (uvf -5)) (begin (set! uvf (if #t (* -19 cmkob) (* 2 25))) (set! uvf uvf) uvf 22));29.0;uvf;(let* ((cmkob (dummy 2)) (uvf (dummy 1))) (begin (set! uvf (if #t (* -19 cmkob) (* 2 25))) (set! uvf uvf)));21.0
(letrec* ((ktmii 0) (zieccu 24) (fa 1)) (begin (begin (set! ktmii fa) zieccu) (set! ktmii -9) (set! zieccu (/ 8 fa)) ktmii));17.0;ktmii;(letrec* ((ktmii (dummy 2))) (begin (set! ktmii -9)));7.0
(let* ((wdlm (/ (if #t 19 18) (/ 3 15))) (lsizgu -11) (zywbl 15)) (begin lsizgu (set! zywbl -22) (set! wdlm 26) -10));20.0;zywbl;(let* ((zywbl (dummy 1))) (begin (set! zywbl -22)));7.0
(let ((vvvv (if #t 23 -12)) (mogzdm -9) (jb -16)) (/ (+ (* (* (/ -24 -7) (/ (/ (- (* mogzdm 0) jb) -21) (+ 6 jb))) -18) (if (= -2 20) -5 (* mogzdm (+ 0 mogzdm)))) (begin (set! jb -30) (set! vvvv -2) (- mogzdm 18))));58.0;vvvv;(let ((vvvv (dummy 1)) (mogzdm (dummy 1)) (jb (dummy 2))) (/ (+ (* (* (/ -24 -7) (/ (/ (- (* mogzdm 0) jb) -21) (+ 6 jb))) -18) (if (= -2 20) -5 (* mogzdm (+ 0 mogzdm)))) (begin (set! vvvv -2) (- mogzdm 18))));59.0
(let* ((x (+ -20 12)) (v -22)) (begin (set! x (begin (set! x 1) 3)) (- v -17) (+ -14 x) -16));21.0;x;(let* ((x (+ -20 12))) (begin (set! x (begin (set! x 1) 3))));11.0
(letrec* ((by (let ((bg 2)) (/ 26 -1))) (oyzye (if (= -18 -4) 20 18)) (ruooy (- 25 15)) (zxoiy -24)) (/ (begin (set! zxoiy by) (set! oyzye (+ (+ -1 by) (/ ruooy (* by 2)))) ruooy) (if #t (+ (/ -21 by) 26) (let* () 8))));50.0;oyzye;(letrec* ((by (let () (/ 26 -1))) (oyzye (dummy 2)) (ruooy (- 25 15))) (/ (begin (set! oyzye (+ (+ -1 by) (/ ruooy (* by 2)))) ruooy) (if #t (+ (/ -21 by) 26) (let* () 8))));42.0
(let* ((jcvp -8) (fpl 15) (w 24)) (begin 27 (set! jcvp jcvp) (set! jcvp (- fpl w)) jcvp));14.0;jcvp;(let* ((jcvp (dummy 2)) (fpl 15) (w 24)) (begin (set! jcvp jcvp) (set! jcvp (- fpl w))));14.0
(let ((tine 11) (rgyyei (if #f -28 19)) (cipr -27)) (begin (set! cipr (+ rgyyei (/ (* -10 cipr) 0))) cipr (set! rgyyei (+ cipr tine)) rgyyei));26.0;cipr;(let ((rgyyei (if #f -28 19)) (cipr -27)) (begin (set! cipr (+ rgyyei (/ (* -10 cipr) 0)))));18.0
(let ((v (if #f 15 (if #f -23 -26))) (yzfsde 25) (l 4)) (- (begin (set! v (* 8 (/ 29 yzfsde))) (set! l l) l) 19));25.0;v;(let ((v (dummy 2)) (yzfsde 25) (l (dummy 2))) (- (begin (set! v (* 8 (/ 29 yzfsde))) l) 19));21.0
(let* ((yvnxs 22) (gtkxqw 14) (jhkpeo -19)) (begin (set! gtkxqw jhkpeo) -8 (set! yvnxs 13) yvnxs));11.0;gtkxqw;(let* ((gtkxqw (dummy 2)) (jhkpeo (dummy 1))) (begin (set! gtkxqw jhkpeo)));10.0
(let* ((wpoyoj 14) (oxzep -14) (a -7) (o 14)) (* (* (/ oxzep 9) (begin 27 (* -16 (/ 9 (* -3 22))))) (begin (set! a -28) (set! a 26) 22)));31.0;wpoyoj;(let* ((wpoyoj 14)) '());3.0
(letrec* ((fdxu 9)) (- (* 5 4) (begin (set! fdxu -11) (set! fdxu -20) fdxu)));14.0;fdxu;(letrec* ((fdxu (dummy 1))) (- (* 5 4) (begin (set! fdxu -11) (set! fdxu -20) fdxu)));16.0
(let ((xse -4) (yq 0)) (begin (set! yq 15) (set! xse (/ xse (- yq (* (+ xse (+ (* (/ -16 (/ -22 xse)) yq) yq)) -11)))) 1 -20));34.0;yq;(let ((xse (dummy 2)) (yq 0)) (begin (set! yq 15) (set! xse (/ xse (- yq (* (+ xse (+ (* (/ -16 (/ -22 xse)) yq) yq)) -11))))));34.0
(let* ((ozbghp 19) (liqzt (begin 0 11)) (o (if #t -8 -15)) (sswn 18)) (begin (* (* -2 (+ (- 25 -7) (* (+ 21 (- sswn 23)) ozbghp))) (+ -28 (+ (- -30 -25) -10))) (set! sswn -20) (set! liqzt (+ 29 -4)) (/ (* -9 o) 14)));56.0;liqzt;(let* ((liqzt (dummy 1))) (begin (set! liqzt (+ 29 -4))));10.0
(letrec* ((c 20)) (begin (set! c c) (- 6 30) (set! c -12) 23));12.0;c;(letrec* ((c (dummy 2))) (begin (set! c -12)));7.0
