expression; size; sliced on; sliced expression; sliced size
(let* ((tumyq (begin 24 -25)) (wtse (/ -2 (/ 17 26))) (xi 10) (ugptr -2)) (begin (set! tumyq tumyq) -17 (set! tumyq tumyq) (* (- -28 ugptr) wtse)));26.0;ugptr;(let* ((ugptr -2)) '());3.0
(let* ((b -7) (fo 9)) (begin (set! b (if #t fo (if #t fo b))) (set! b 5) (set! fo b) 28));17.0;b;(let* ((b (dummy 1)) (fo (dummy 1))) (begin (set! b (if #t fo (if #t fo b))) (set! b 5)));18.0
(letrec* ((vodi -19) (o 24)) (begin (begin (set! o o) 6) 4 (set! vodi vodi) o));12.0;o;(letrec* ((o 24)) (begin (begin (set! o o))));6.0
(let* ((qox -8)) (+ -2 (* (begin (set! qox qox) 18) (begin (set! qox -22) -18))));15.0;qox;(let* ((qox (dummy 2))) (+ -2 (* (begin 18) (begin (set! qox -22) -18))));15.0
(letrec* ((w -10)) (begin (let () -21) (set! w (+ w -16)) (set! w (/ -19 (- w 6))) w));19.0;w;(letrec* ((w -10)) (begin (set! w (+ w -16)) (set! w (/ -19 (- w 6)))));16.0
(let* ((w (begin 21 22 -14)) (lksg (if (= -23 10) -12 -25)) (cnjfb -20) (cqbbg 17)) (begin (set! cqbbg (- -1 -27)) (+ cnjfb cnjfb) (set! cqbbg cnjfb) w));27.0;cnjfb;(let* ((cnjfb -20)) '());3.0
(let ((ecgxs (+ (if #t 19 -12) (- 24 25))) (l (* 7 (if #f 14 0))) (qxmw (- -13 19)) (lico -27)) (begin (set! ecgxs l) (set! lico -29) (set! lico 9) (* -5 (+ (* (* lico 22) lico) -8))));43.0;ecgxs;(let ((ecgxs (dummy 2)) (l (dummy 2))) (begin (set! ecgxs l)));10.0
(letrec* ((hlhe (* 11 (if #f (- 1 -25) -14))) (dwszg -13) (fqbg (- -12 -21)) (cf 26)) (begin (set! fqbg (- 2 -20)) (set! dwszg dwszg) fqbg));26.0;hlhe;(letrec* ((hlhe (* 11 (if #f (- 1 -25) -14)))) '());12.0
(let* ((bogkas (begin -3 -10 -10)) (vbd (/ 26 30)) (mo -26) (w -13)) (begin (set! mo (begin (set! mo 23) w)) (if #f 19 (+ 19 (/ 22 2))) mo (/ bogkas bogkas)));32.0;vbd;(let* ((vbd (/ 26 30))) '());6.0
(let* ((zw -17) (demv -13) (dxfk -5)) (begin (set! dxfk (if #f (+ 25 zw) dxfk)) (set! zw (+ 24 22)) -6 2));20.0;zw;(let* ((zw (dummy 1))) (begin (set! zw (+ 24 22))));10.0
(let* ((pywtr (begin -11 -19)) (j (- 11 -23)) (f (+ -12 -27)) (ogi 29)) (/ (begin (set! j ogi) (set! j -5) -9) 6));22.0;j;(let* ((j (dummy 2)) (ogi (dummy 1))) (/ (begin (set! j ogi) (set! j -5) -9) 6));16.0
